basin_id,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,elev_mean,slope_mean,area_gages2,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,carbonate_rocks_frac,geol_permeability,std,label
1013500,3.12667898699521,1.97155451060917,0.63055865946247,0.187940258706929,0.313440357191799,12.95,1.34895833333333,202.2,3.4271186440678,250.31,21.64152,2252.7,0.9063,4.1673039455613,3.34073185949204,0.804567420071824,0.37164816263051,7.40476190476191,1.24840792462702,0.461148751156712,1.10652247617283,0.558054827184396,27.8418272885233,55.1569400320784,16.2757317233653,0.0,-14.7019,1.3190777140087517,0.01677409765235771
1030500,3.2744052019165,2.04359356605065,0.624111385131731,0.0473581892739792,0.27701840295357,17.15,1.20774647887324,215.6,3.51426242868786,143.8,12.79195,3676.17,0.8782,4.68519971859885,3.66554296378545,0.858502041122509,0.35139338964903,19.0114143920596,1.46136319457164,0.459090984473127,1.28980734614748,0.653019780703995,32.2354584281651,51.7791822486715,14.7768237774889,0.0521400935487284,-14.4918,1.4120471134014851,0.01042377809617201
1144000,3.42085968514716,2.15774034223135,0.630759674709817,0.191150163759349,0.248466348504845,19.05,1.13392857142857,225.15,3.3159057437408,459.8,60.29261,1790.24,0.9813,5.16403445079923,4.4950812735625,0.89722156778609,0.492946826571639,2.10679945054945,1.34878670352828,0.436028932200058,1.87662441419059,0.566679605826184,44.9595193026269,41.2575310065033,13.0823952320539,0.323706719607693,-13.3802,1.5585469517373454,0.007843200310164833
1543500,3.40892950034223,2.2839264476386,0.669983479391203,0.17043837870638,0.181653610941671,17.1,1.0926517571885,210.65,3.02223816355811,547.44,31.28232,1778.26,0.9878,5.1234237427107,4.57016349068812,0.894548372499437,0.524107205458267,1.02002145155524,1.45589777697631,0.448123662955262,1.35318826389979,0.635270958656151,35.5933999168277,47.2992408538476,17.1181328725411,0.0,-14.3537,1.4041294668767674,0.00028768650234056725
1548500,3.15334565366188,2.27178221765914,0.720435520609989,0.179163892505052,0.202088630482319,18.1,1.12074303405573,221.0,3.17757009345794,546.71,39.14167,1557.05,0.9866,4.78009863302879,4.23528190042025,0.876758810038773,0.508506796279639,1.02956662616444,1.33911099166599,0.455161394937659,1.22172520254708,0.571262014211426,29.4829323471052,50.4513237517423,14.6721930313455,0.0,-14.8083,1.2987793718810998,0.007030400517576418
1552000,3.47699794661191,2.31166417522245,0.664844849124805,0.153983558785624,0.17305912288721,18.55,1.17034700315457,224.9,3.40757575757576,461.43,37.27533,1129.49,0.9911,4.96915477942079,4.3762242388389,0.885104673046246,0.486873809555214,3.89556428972487,1.45498701460431,0.45126146279684,1.33282134068244,0.628217324546618,33.4436347776731,50.0495184257044,15.4181241654977,0.0,-14.4365,1.2482867947494747,0.013067590383536776
1606500,3.36347707049966,2.49905597535934,0.742997773725896,0.0995538398003471,0.148750518921295,17.0,1.19298245614035,214.95,3.39841897233202,836.38,75.86214,1684.55,0.9336,4.7781702164762,4.19856691409865,0.868890746256199,0.489592692963541,0.950409996095275,0.943515069981119,0.445370004171872,1.36167458773623,0.388659076594702,36.4816877061335,42.4483707789323,16.6809577710109,0.218157715931334,-14.1648,1.2445219088900772,-0.03424644829193091
1664000,3.14902806297057,2.57200380561259,0.816761157468489,0.174188172204434,0.0827964257846037,22.25,1.2027027027027,255.55,4.45209059233449,216.1,30.32647,1605.1,0.7519,4.43835402647343,3.83843969675652,0.854354475631049,0.473973206074874,1.04997934737712,1.30429777832438,0.445798410326273,1.20194558032513,0.572554862649007,36.1754662003161,42.739264347264,21.1687234304842,0.0005262202397876,-13.969,1.3386448321283344,0.013578504718574469
1667500,3.20798220396988,2.68815648186174,0.837958664027232,0.178906478344439,0.0788117934771709,21.9,1.23033707865169,255.3,4.46328671328671,193.47,23.44026,1209.75,0.8033,4.11269399385096,3.4665615831167,0.83288555369401,0.443615626785547,1.06703296703297,1.30094356609608,0.451875619542419,1.03923725680094,0.563297926546245,30.7700365064613,44.5450379289049,21.8030801411582,0.0018122148538136,-14.1348,1.2092139824576085,-0.10373615701214267
2016000,3.14481451060917,2.57381968514716,0.818432908034564,0.100530522771781,0.102077363429123,21.55,1.21067415730337,243.8,4.07692307692308,645.04,66.42056,1194.55,0.9317,5.08865611310359,4.38544116609582,0.883890083471318,0.459359315461342,1.01385809312639,0.884824261732569,0.437259278365103,1.64019378630426,0.379562056400789,43.3410444685166,39.8783493312,16.7471310529829,0.0003093706079916,-15.2353,1.1807965457824006,0.003218471459114469
