,basin_id,NSE_LSTM_135,NSE_CNN_LSTM_135,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,huc_02,gauge_name,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,area_geospa_fabric,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,std
0,1013500,0.8722892474325065,0.8890633450848643,7.40476190476191,1.24840792462702,0.461148751156712,1.10652247617283,0.558054827184396,27.8418272885233,55.1569400320784,16.2757317233653,5.37669779045723,0.40871676450827,0.0,1,"Fish River near Fort Kent, Maine",47.23739,-68.58264,250.31,21.64152,2252.7,2303.95,Siliciclastic sedimentary rocks,0.815904446815535,Basic volcanic rocks,0.179729452382194,0.0,0.1714,-14.7019,1.69915450753356,0.543437466590222,1.52821853538976,0.585225955779508,1.84532416164806,0.241106126475711,6.37302139711473,6.1,8.71428571428571,41.35,20.1707317073171,0.0,207.25,0.9063,4.1673039455613,3.34073185949204,0.804567420071824,0.37164816263051,0.883451918625571,    Mixed Forests,,,3.12667898699521,1.97155451060917,0.187940258706929,0.313440357191799,0.63055865946247,12.95,1.34895833333333,son,202.2,3.4271186440678,mam,1.263447701735211
1,1030500,0.8562125780692137,0.8666363561653856,19.0114143920596,1.46136319457164,0.459090984473127,1.28980734614748,0.653019780703995,32.2354584281651,51.7791822486715,14.7768237774889,1.63434486166016,1.33027758793988,0.0220161021434411,1,"Mattawamkeag River near Mattawamkeag, Maine",45.50097,-68.30596,143.8,12.79195,3676.17,3676.09,Siliciclastic sedimentary rocks,0.573305400935238,Metamorphics,0.287010005606611,0.0521400935487284,0.1178,-14.4918,1.82010754402741,0.555858982560286,1.87111040605632,0.508440712580478,1.37750520315631,0.107149196809004,6.85488650393008,12.25,7.20588235294118,89.25,19.4021739130435,0.0,184.9,0.8782,4.68519971859885,3.66554296378545,0.858502041122509,0.35139338964903,0.975257985818668,    Mixed Forests,,,3.2744052019165,2.04359356605065,0.0473581892739792,0.27701840295357,0.624111385131731,17.15,1.20774647887324,son,215.6,3.51426242868786,djf,1.3612541321473082
2,1144000,0.6893612507557362,0.697204451065901,2.10679945054945,1.34878670352828,0.436028932200058,1.87662441419059,0.566679605826184,44.9595193026269,41.2575310065033,13.0823952320539,0.0,0.0,0.532835430016436,1,"WHITE RIVER AT WEST HARTFORD, VT",43.71424,-72.41815,459.8,60.29261,1790.24,1780.65,Metamorphics,0.663469277959176,Carbonate sedimentary rocks,0.323706719607693,0.323706719607693,0.0273,-13.3802,1.85875508846547,0.543359055776503,1.51948227493782,0.562748926856317,1.7290262095036,0.237791661970178,5.98305687416918,5.8,1.8125,42.0,10.1204819277108,0.0,181.5,0.9813,5.16403445079923,4.4950812735625,0.89722156778609,0.492946826571639,0.731155976555125,    Deciduous Broadleaf Forest,0.196029823450306,1.97766994993881,3.42085968514716,2.15774034223135,0.191150163759349,0.248466348504845,0.630759674709817,19.05,1.13392857142857,jja,225.15,3.3159057437408,mam,1.5282502503906124
3,1543500,0.7806499963430954,0.780937682845436,1.02002145155524,1.45589777697631,0.448123662955262,1.35318826389979,0.635270958656151,35.5933999168277,47.2992408538476,17.1181328725411,0.0,0.0,0.0,2,"Sinnemahoning Creek at Sinnemahoning, PA",41.31728,-78.10306,547.44,31.28232,1778.26,1778.96,Siliciclastic sedimentary rocks,1.0,,0.0,0.0,0.2146,-14.3537,1.63054821091537,0.478316788526037,1.79669094630527,0.482957364176171,2.05031436983567,0.0619121498260637,5.67940787737757,8.45,2.13924050632911,89.8,15.7543859649123,0.0,163.75,0.9878,5.1234237427107,4.57016349068812,0.894548372499437,0.524107205458267,0.99501174355862,    Deciduous Broadleaf Forest,0.189950117435563,1.99750587177912,3.40892950034223,2.2839264476386,0.17043837870638,0.181653610941671,0.669983479391203,17.1,1.0926517571885,jja,210.65,3.02223816355811,son,1.343072917573827
4,1548500,0.7411418568746528,0.748172257392229,1.02956662616444,1.33911099166599,0.455161394937659,1.22172520254708,0.571262014211426,29.4829323471052,50.4513237517423,14.6721930313455,0.0,0.0,5.47929869957453,2,"Pine Creek at Cedar Run, PA",41.52174,-77.44748,546.71,39.14167,1557.05,1557.98,Siliciclastic sedimentary rocks,1.0,,0.0,0.0,0.2004,-14.8083,1.43544359605518,0.455212892499828,1.72819889426657,0.494162982650303,1.10720797436017,0.0848496062808742,5.01241192659239,8.9,2.50704225352113,88.7,16.4259259259259,0.0,162.2,0.9866,4.78009863302879,4.23528190042025,0.876758810038773,0.508506796279639,0.86238249316826,    Deciduous Broadleaf Forest,0.188623824931664,1.93119124658398,3.15334565366188,2.27178221765914,0.179163892505052,0.202088630482319,0.720435520609989,18.1,1.12074303405573,jja,221.0,3.17757009345794,son,1.271519064360205
5,1552000,0.7132272744950703,0.726294864878607,3.89556428972487,1.45498701460431,0.45126146279684,1.33282134068244,0.628217324546618,33.4436347776731,50.0495184257044,15.4181241654977,0.0,0.0,1.17133395519173,2,"Loyalsock Creek at Loyalsockville, PA",41.32508,-76.91246,461.43,37.27533,1129.49,1129.55,Siliciclastic sedimentary rocks,1.0,,0.0,0.0,0.2093,-14.4365,1.71924967115064,0.494463815495184,1.6708611448027,0.51054949836829,1.21432539065678,0.110470524593391,5.45854356814401,6.35,1.71621621621622,67.15,13.2970297029703,0.0,150.15,0.9911,4.96915477942079,4.3762242388389,0.885104673046246,0.486873809555214,0.945647482034736,    Deciduous Broadleaf Forest,0.189456474820332,1.97282374101724,3.47699794661191,2.31166417522245,0.153983558785624,0.17305912288721,0.664844849124805,18.55,1.17034700315457,son,224.9,3.40757575757576,son,1.2159494683074767
6,1606500,0.6943727482688747,0.6601262999769439,0.950409996095275,0.943515069981119,0.445370004171872,1.36167458773623,0.388659076594702,36.4816877061335,42.4483707789323,16.6809577710109,0.0,0.0,2.87343839357392,2,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",38.99122,-79.17587,836.38,75.86214,1684.55,1686.61,Siliciclastic sedimentary rocks,0.653422514096553,Carbonate sedimentary rocks,0.218157715931334,0.218157715931334,0.1651,-14.1648,1.21023702242715,0.35981723587233,1.70438134279501,0.518890696452234,2.07378631355448,0.113284196107451,4.19732470192991,11.0,2.41758241758242,90.35,15.3135593220339,0.0,171.85,0.9336,4.7781702164762,4.19856691409865,0.868890746256199,0.489592692963541,0.939353305385887,    Deciduous Broadleaf Forest,0.18939353305384,1.96967665269279,3.36347707049966,2.49905597535934,0.0995538398003471,0.148750518921295,0.742997773725896,17.0,1.19298245614035,mam,214.95,3.39841897233202,son,1.1404307918341685
7,1664000,0.6947574691167621,0.7083359738353365,1.04997934737712,1.30429777832438,0.445798410326273,1.20194558032513,0.572554862649007,36.1754662003161,42.739264347264,21.1687234304842,0.0,0.0,0.0,2,"RAPPAHANNOCK RIVER AT REMINGTON, VA",38.53068,-77.8136,216.1,30.32647,1605.1,1604.64,Metamorphics,0.526435602877036,Acid plutonic rocks,0.205444346041605,0.0005262202397876,0.036,-13.969,1.11583272913522,0.354341945140566,1.74536114975795,0.565654912609262,1.62412645964061,0.0597506456828321,3.28933401488648,5.9,1.57333333333333,70.65,13.3301886792453,0.0,170.0,0.7519,4.43835402647343,3.83843969675652,0.854354475631049,0.473973206074874,0.542241246484979,    cropland/natural vegetation mosaic,0.184577587535132,1.72887937675731,3.14902806297057,2.57200380561259,0.174188172204434,0.0827964257846037,0.816761157468489,22.25,1.2027027027027,son,255.55,4.45209059233449,son,1.3383484008295177
8,1667500,0.6743774376398657,0.5706412806277229,1.06703296703297,1.30094356609608,0.451875619542419,1.03923725680094,0.563297926546245,30.7700365064613,44.5450379289049,21.8030801411582,0.0,0.0,2.63508639972029,2,"RAPIDAN RIVER NEAR CULPEPER, VA",38.35041,-77.975,193.47,23.44026,1209.75,1210.75,Metamorphics,0.342850107287653,Siliciclastic sedimentary rocks,0.308524043821612,0.0018122148538136,0.0758,-14.1348,1.15865425131296,0.361178515853087,1.57091124918925,0.56394201768127,1.98514539903802,0.11729810427099,3.39355549942622,5.75,1.47435897435897,59.45,11.656862745098,0.0,168.0,0.8033,4.11269399385096,3.4665615831167,0.83288555369401,0.443615626785547,0.681016911566322,    cropland/natural vegetation mosaic,0.183189830884314,1.6594915442166,3.20798220396988,2.68815648186174,0.178906478344439,0.0788117934771709,0.837958664027232,21.9,1.23033707865169,son,255.3,4.46328671328671,son,1.1328878507382891
9,2016000,0.807732984346817,0.8109514558059315,1.01385809312639,0.884824261732569,0.437259278365103,1.64019378630426,0.379562056400789,43.3410444685166,39.8783493312,16.7471310529829,0.0,0.0,0.0,2,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",37.7918,-79.75949,645.04,66.42056,1194.55,1194.92,Siliciclastic sedimentary rocks,0.74776708258271,Mixed sedimentary rocks,0.251907256519417,0.0003093706079916,0.1715,-15.2353,1.15571291620652,0.367497959675417,1.50172248861865,0.49776856329352,1.79524111453413,0.161801069941279,3.84635961202179,12.3,1.95238095238095,74.85,15.2755102040816,0.0,170.3,0.9317,5.08865611310359,4.38544116609582,0.883890083471318,0.459359315461342,0.970437566611511,    Deciduous Broadleaf Forest,0.190864348489429,2.00013271960562,3.14481451060917,2.57381968514716,0.100530522771781,0.102077363429123,0.818432908034564,21.55,1.21067415730337,mam,243.8,4.07692307692308,son,1.0660627688129092
